filename,age,gender,accent,mfcc_num_path,mfcc_spec_path,mel_num_path,mel_spec_path,mfcc_eq_path,mel_eq_path
cv-valid-dev/sample-000004.mp3,2,0,4,..\dataset\mfcc_num\cv-valid-dev_sample-000004.npy,..\dataset\mfcc_spec\cv-valid-dev_sample-000004.png,..\dataset\mel_num\cv-valid-dev_sample-000004.npy,..\dataset\mel_spec\cv-valid-dev_sample-000004.png,..\dataset\mfcc_num_eq\cv-valid-dev_sample-000004_eq.npy,..\dataset\mel_num_eq\cv-valid-dev_sample-000004_eq.npy
cv-valid-dev/sample-000005.mp3,5,1,14,..\dataset\mfcc_num\cv-valid-dev_sample-000005.npy,..\dataset\mfcc_spec\cv-valid-dev_sample-000005.png,..\dataset\mel_num\cv-valid-dev_sample-000005.npy,..\dataset\mel_spec\cv-valid-dev_sample-000005.png,..\dataset\mfcc_num_eq\cv-valid-dev_sample-000005_eq.npy,..\dataset\mel_num_eq\cv-valid-dev_sample-000005_eq.npy
cv-valid-dev/sample-000008.mp3,7,0,3,..\dataset\mfcc_num\cv-valid-dev_sample-000008.npy,..\dataset\mfcc_spec\cv-valid-dev_sample-000008.png,..\dataset\mel_num\cv-valid-dev_sample-000008.npy,..\dataset\mel_spec\cv-valid-dev_sample-000008.png,..\dataset\mfcc_num_eq\cv-valid-dev_sample-000008_eq.npy,..\dataset\mel_num_eq\cv-valid-dev_sample-000008_eq.npy
cv-valid-dev/sample-000009.mp3,1,0,1,..\dataset\mfcc_num\cv-valid-dev_sample-000009.npy,..\dataset\mfcc_spec\cv-valid-dev_sample-000009.png,..\dataset\mel_num\cv-valid-dev_sample-000009.npy,..\dataset\mel_spec\cv-valid-dev_sample-000009.png,..\dataset\mfcc_num_eq\cv-valid-dev_sample-000009_eq.npy,..\dataset\mel_num_eq\cv-valid-dev_sample-000009_eq.npy
cv-valid-dev/sample-000013.mp3,7,1,14,..\dataset\mfcc_num\cv-valid-dev_sample-000013.npy,..\dataset\mfcc_spec\cv-valid-dev_sample-000013.png,..\dataset\mel_num\cv-valid-dev_sample-000013.npy,..\dataset\mel_spec\cv-valid-dev_sample-000013.png,..\dataset\mfcc_num_eq\cv-valid-dev_sample-000013_eq.npy,..\dataset\mel_num_eq\cv-valid-dev_sample-000013_eq.npy
cv-valid-dev/sample-000020.mp3,7,1,4,..\dataset\mfcc_num\cv-valid-dev_sample-000020.npy,..\dataset\mfcc_spec\cv-valid-dev_sample-000020.png,..\dataset\mel_num\cv-valid-dev_sample-000020.npy,..\dataset\mel_spec\cv-valid-dev_sample-000020.png,..\dataset\mfcc_num_eq\cv-valid-dev_sample-000020_eq.npy,..\dataset\mel_num_eq\cv-valid-dev_sample-000020_eq.npy
cv-valid-dev/sample-000021.mp3,7,0,4,..\dataset\mfcc_num\cv-valid-dev_sample-000021.npy,..\dataset\mfcc_spec\cv-valid-dev_sample-000021.png,..\dataset\mel_num\cv-valid-dev_sample-000021.npy,..\dataset\mel_spec\cv-valid-dev_sample-000021.png,..\dataset\mfcc_num_eq\cv-valid-dev_sample-000021_eq.npy,..\dataset\mel_num_eq\cv-valid-dev_sample-000021_eq.npy
cv-valid-dev/sample-000022.mp3,7,0,14,..\dataset\mfcc_num\cv-valid-dev_sample-000022.npy,..\dataset\mfcc_spec\cv-valid-dev_sample-000022.png,..\dataset\mel_num\cv-valid-dev_sample-000022.npy,..\dataset\mel_spec\cv-valid-dev_sample-000022.png,..\dataset\mfcc_num_eq\cv-valid-dev_sample-000022_eq.npy,..\dataset\mel_num_eq\cv-valid-dev_sample-000022_eq.npy
cv-valid-dev/sample-000029.mp3,7,1,3,..\dataset\mfcc_num\cv-valid-dev_sample-000029.npy,..\dataset\mfcc_spec\cv-valid-dev_sample-000029.png,..\dataset\mel_num\cv-valid-dev_sample-000029.npy,..\dataset\mel_spec\cv-valid-dev_sample-000029.png,..\dataset\mfcc_num_eq\cv-valid-dev_sample-000029_eq.npy,..\dataset\mel_num_eq\cv-valid-dev_sample-000029_eq.npy
cv-valid-dev/sample-000034.mp3,1,1,14,..\dataset\mfcc_num\cv-valid-dev_sample-000034.npy,..\dataset\mfcc_spec\cv-valid-dev_sample-000034.png,..\dataset\mel_num\cv-valid-dev_sample-000034.npy,..\dataset\mel_spec\cv-valid-dev_sample-000034.png,..\dataset\mfcc_num_eq\cv-valid-dev_sample-000034_eq.npy,..\dataset\mel_num_eq\cv-valid-dev_sample-000034_eq.npy
